Registration Number,registration data,status,owner,title,МКТУ,inspiration date,number of bulletin,bulletin data,img url,Page url
2886,24.08.1995,Истек,"С.К. Джонсон энд Сан, Инк., корпорация штата Висконсин(US)",ПРОНТО,03,29.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43086
2889,24.08.1995,Истек,"С.К. Джонсон энд Сан, Инк., корпорация штата Висконсин(US)",РЕЙД,05,20.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43087
2884,24.08.1995,Истек,"С.К. Джонсон энд Сан, Инк., корпорация штата Висконсин(US)",FАUСН,"03, 04",29.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43088
2882,24.08.1995,Истек,"С.К. Джонсон энд Сан, Инк., корпорация штата Висконсин(US)",ФАУШ,"03, 04",29.10.2003,4-2,16.12.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43089
1280,05.04.1995,Действует,"Сумитомо Кемикал Ко., ЛТД. (JP) (JP)",SUМIТНRIN,"01, 05",08.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43090
1301,05.04.1995,Действует,Киккоман Корпорейшн (JP)(JP),КIККОМАN,30,13.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43091
1304,05.04.1995,Действует,Йокогава Электрик Корпорейшн (JP)(JP),YОКОGАWА,09,13.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image1304_ctl01&DXRefresh=a2b235e6-e4d8-4015-a587-0c4f0eb24d95,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43092
1285,05.04.1995,Действует,"Сумитомо Кемикал Ко., ЛТД. (JP) (JP)",ЕSРRЕNЕ,17,08.09.2003,4,15.07.1995,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43093
2450,18.07.1995,Действует,"ЭйчБиАй Брэндед Аппэрел Энтерпрайзис, ЛЛК(US)",НАNЕS НЕR WАY,25,25.10.2003,3-2,16.09.1996,http://gosreestr.kazpatent.kz/DXR.axd?r=1_35-iMXxg,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43094
2479,20.07.1995,Истек,"Чойс Хотелс Интернешнл, Инк. (US)(US)",SLЕЕР INN,42,25.10.2003,3-2,16.09.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2479_ctl01&DXRefresh=c4ce9b71-6292-436d-9be3-5ad34c5980e8,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43095
2218,14.07.1995,Действует,Бритиш Америкэн Тобэкко (Брэндс) Лимитед (GB),В А Т ВАТ,34,21.10.2013,3-2,16.09.1996,http://gosreestr.kazpatent.kz/Trademark/TrademarksPartial?DXCache=Image2218_ctl01&DXRefresh=094d0201-5772-4334-be2c-2e8983f8bbea,http://gosreestr.kazpatent.kz/Trademark/Details?docNumber=43096
